DATE,m_active_time,m_distance,tempmean,tempmax,tempmin,precip,snow
20130504,5864.0,8317.0,59,69,48,0.0,0.0
20130505,4604.0,5644.0,55,64,46,0.0,0.0
20130506,3749.0,5341.0,58,69,46,0.0,0.0
20130507,7002.0,10132.0,63,74,52,0.0,0.0
20130508,4652.0,6469.0,59,63,55,3.02,0.0
20130509,808.0,1092.0,61,68,54,0.5,0.0
20130510,10571.0,18569.0,69,79,59,0.01,0.0
20130511,3407.0,4618.0,66,70,61,1.09,0.0
20130512,8765.0,13742.0,61,70,51,0.001,0.0
20130513,2975.0,4400.0,52,58,45,0.0,0.0
20130514,3160.0,4720.0,52,61,42,0.0,0.0
20130515,1062.0,1494.0,62,69,54,0.0,0.0
20130516,10801.0,18007.0,71,79,62,0.0,0.0
20130517,3697.0,5120.0,65,72,58,0.0,0.0
20130518,3492.0,4711.0,61,65,56,0.01,0.0
20130519,7245.0,11971.0,57,59,55,0.6,0.0
20130520,3441.0,4633.0,69,79,58,0.0,0.0
20130521,5804.0,8255.0,77,86,68,0.0,0.0
20130522,1171.0,1757.0,69,78,59,0.0,0.0
20130523,7486.0,14310.0,72,80,64,1.81,0.0
20130524,11238.0,18922.0,55,65,45,0.3,0.0
20130525,10056.0,17200.0,50,54,45,0.14,0.0
20130526,10406.0,15555.0,57,66,48,0.0,0.0
20130527,10466.0,13819.0,62,73,51,0.0,0.0
20130528,4936.0,7172.0,62,68,56,0.52,0.0
20130529,4884.0,6954.0,70,82,58,0.0,0.0
20130530,5218.0,9237.0,81,90,72,0.0,0.0
20130531,9045.0,15513.0,83,90,75,0.0,0.0
20130601,2937.0,3971.0,82,90,73,0.0,0.0
20130602,7487.0,10095.0,79,88,69,0.85,0.0
20130603,1485.0,2168.0,72,78,66,0.87,0.0
20130604,3114.0,4763.0,66,75,57,0.0,0.0
20130605,4902.0,7401.0,66,74,58,0.0,0.0
20130606,9500.0,16702.0,65,70,59,0.13,0.0
20130607,5687.0,8495.0,61,63,59,4.16,0.0
20130608,8129.0,11289.0,67,77,57,0.48,0.0
20130609,4640.0,7098.0,72,80,63,0.0,0.0
20130610,8902.0,15727.0,66,70,62,1.38,0.0
20130611,6411.0,9158.0,72,80,64,0.09,0.0
